评论标题,评论内容,标签
不同行情选股技巧,"一、基本面分析 坚持价值投资,做有业绩持续增长的股票,不做没有前途的股票。要做好基本面的分析和经济分析。符合国家的政策导向的股票一般比较有爆发力,比如节能环保类股票逆市上涨就是一个例子。 二、技术分析 要做趋势向上的,并且有成交量配合的股票,没有成交量什么股票都很难涨。趋势向上体...",中性
。。边缘货币将瞬间爆发危机,今天能涨应当感谢穆迪,正向
调皮的，你藏好了猫猫，他回家了！这算好的。问题是，,调皮的，你藏好了猫猫，他回家了！这算好的。问题是，,正向
前几天暴力拉升的劲头哪去了,一群混蛋50,负向
惶恐不安,惶恐不安,负向
手里50000股浦发持有n年了，始终没到我心里的出局位置,11年9快出头开始持有的，本来只有40000股的，去年2850的时候破净我又加了一把到50000股~到目前成本又上升回到差不多9快了。。。。当初设定了个出局线，也就是10倍市盈率或者净资产的翻翻价格。。结果那么多年1个条件都没达到过。。我的要求是不是太高了。。。。不管了，反正每年...,负向
不搞起你们这些个臭韭菜我誓不罢休！！明天大幅,不出减持前三连阳新规实施跌不停加大了亏损,负向
15元4进了点，还有低点没,15元4进了点，还有低点没,中性
浦发与兴业不可同日而语,浦发分配10送7元多，年年递增。兴业10送5元，年年如此。今年保险资金入驻，分配不会少，长期持有安全。,正向
营口港唐山港接力上涨，,营口港 唐山港接力上涨，,正向
这种妖性，明显是第二个双马！,谁被雄安概念闪了腰？“百日”炒作渐渐落幕,中性
小秘书，短线（三五天）判断眼光独特，令我佩服，但1月以上的判断就不敢恭维，4月底不断说5穷6绝，好像不对。又说去工地打工，估计是显现自己还年轻，有力气。是一位可爱的股友。,小秘书，短线（三五天）判断眼光独特，令我佩服，但1月以上的判断就不敢恭维，4月底不断说5穷6绝，好像不对。又说去工地打工，估计是显现自己还年轻，有力气。是一位可爱的股友。,正向
什么叫赌博，回3333311兄弟,我这里不讨论你的房几年内能大涨多少，我这里向你汇报一下我怎么买浦发的心理。  先说什么叫投资：比方，你的资产一部分是房子，一部分是存款，一部分是股票，这叫投资组合。这个股票里呢，你最看好浦发，所以呢，你有50%是浦发，还有50%的股票是其他股票之和。我没任何意见，这是经典学院派理...,中性
我昨天怎么没看到呢，真是日了狗了,我昨天怎么没看到呢，真是日了狗了,负向
东只会溢价注资产,东只会溢价注资产,中性
暂时缓解的流动性危机会否卷土重来,暂时缓解的流动性危机会否卷土重来,中性
品领域举步维艰，,品领域举步维艰，,负向
昨天在13元附近低吸的浦发银行随时拉升出货,昨天在13元附近低吸的浦发银行随时拉升出货,正向
大家不要放弃警惕性，,回光返照，大家各自珍重，我只能言尽于此！,负向
V型反转了，哈哈，百点长阳,上涨下跌前主力都会暗示看懂这些盘口语言买入还,正向
明天不拉涨停板，我我戒烟一天。,明天不拉涨停板，我我戒烟一天。,负向
世上只有一种英雄主义就是在认清生活真相之后依然热爱生活。,世上只有一种英雄主义就是在认清生活真相之后依然热爱生活。,正向
仁和是不是周末要出什么公告呢今天的量什么情,格力电器会成为,中性
价值投资是保守本分性格的初学者散户的水平,做股票关键是选时和选股，什么时候做题材，什么时候做价值，这是关键。做股票千万不要谈价值投资，价值投资是保守本分性格的初学者散户的水平。一般十年以上有丰富实战经验的老股民，基本不做价值，大部分时间等机会做题材，比如花荣。但价值投资也不是不能做，但要等机会。什么是机会呢？要素条件很多...,中性
较大压力在3165点平台上沿以上；60日线3142.8点是多空争夺的要点；下方5日线3125点有一定支撑,截至收盘,中性
买股要买龙头股。浦发已经不适合再持有了。记录1。个人观点。,买股要买龙头股。浦发已经不适合再持有了。 记录1。 个人观点。,负向
股市一跌，有的就期望政府救市,[大笑]真是好笑！ 小米鼠不是说浦发18元以下不会有了？不是说18元以下在也买不到了？ 我都看到小米鼠的屁屁被打肿了，呵呵,负向
08到现在一直都在。当然永远都在。多少而已。,08到现在一直都在。当然永远都在。多少而已。,中性
没有站稳住支撑，进去就是风险大于机会。浦发银行,没有站稳住支撑，进去就是风险大于机会。浦发银行,正向
拉不动了，跑。,拉不动了，跑。,负向
请问贵公司把逾期超过90天的贷款纳入不良贷款范围了吗谢谢,请问贵公司把逾期超过90天的贷款纳入不良贷款范围了吗？谢谢,负向
耐人寻味,浦发今天只涨了区区二毛钱，事出反常必有妖.,中性
兴业银行，开盘即抛，,趋势向坏，重组贷款，营收下降，,负向
热烈祝贺浦发再创新低，可喜可贺。,热烈祝贺浦发再创新低，可喜可贺。,负向
摩根大通JPM富国银行WFC花旗银行C美国银行BAC的最新市盈率,摩根大通（JPM）富国银行（WFC）花旗银行（C）美国银行（BAC）的最新市盈率和市净率表2018年2月8日 摩根大通（JPM）16.02/1.5、 富国银行（WFC）13.79/1.4、 美国银行（BAC）19.91/1.2 恒生银行00011：18.99/2.49,中性
散户怎么啦难道你不看好,猪都知道该涨了，就你还不如猪聪明！！,负向
涓贝季景杏，,涓贝季景杏，,中性
去,去,中性
A股三大变化：并购重组,新能源[5股]天齐锂业 多,中性
死水一潭！,大买办，你媳妇是不是穿的红裤衩？,负向
今天故事七大领域国企混改大幕拉开大笑大笑,今天故事七大领域国企混改大幕拉开[大笑][大笑],中性
哎彻底崩溃了，每天都被拉一刀。,红盘，哦耶！,负向
sb操盘手肯定是小学没毕业，乱来的，叫跌不跌反,两市探底回升翻红 关注市场表现,负向
所慎在其初,所慎在其初,中性
2015年发行价13.56，现价复权14.46。,2015年发行价13.56，现价（复权）14.46。,中性
一带一路主题下的相关板块仍是市场的领涨中坚力量。,一带一路主题下的相关板块仍是市场的领涨中坚力量。,中性
不需要专家献策，躺着把钱挣的时候到了环证通,上周港股通资金继续呈现净流入状态，全周净流入金额为59.03亿元，8月份以来港股通资金加速流入，净流入金额达到173.58亿元，比7月全月的129.24亿元增长34%。受此影响，港股通标的股继续水涨船高，上周有43只标的股创年内新高，其中12只创历史新高。  虽然上周恒生指数表现...,正向
欧债危机重灾区的欧洲,赌徒抓股,负向
大家小心。,大家小心。,负向
如果明天高开，估计很多人又要撞墙,可以预见，如果明天高开的话，估计很快就能填权了,中性
灵敏,灵敏,中性
又傻又呆的垃圾堆积在破发里,又傻又呆的垃圾堆积在破发里,负向
浦发银行高管层缺少责任意识没有担当精神,对公业务拼的是关系，主要搞好关系，对人员特别是对管理人员的素质要求不明显。对私业务比的是产品，重点搞好服务，对人员特别是对管理人员的素质要求越来越高。拉关系靠胆大脸厚，搞服务要细心耐心。 从拉关系到推产品、抓服务，浦发银行管理层特别是高管层的管理意识没有成功转换，管理素质来不及提...,中性
持过节的两只票还算不错，过年的花销赚回来5倍不止！也算对得起直播室的各位朋友了。看图,持过节的两只票还算不错，过年的花销赚回来5倍不止！也算对得起直播室的各位朋友了。看图,正向
钱，兴奋个啥,钱，兴奋个啥,中性
今天股票跌了，指数涨了,张沥川想在股市捞一笔的6位女星 有人赚钱有人亏,负向
明日早盘必定有所突破，,88,中性
600240可以考虑买入，他是北京地产板块中最优质,连拉五个涨停板的雄安概念股爬得越高摔得越重,中性
今天又抄底创业板,再说创业板有泡沫都是傻瓜,正向
大盘再创新底，李大哥说了，国家都放开二胎了，这婴儿底也有多重的唻,大盘再创新底，李大哥说了，国家都放开二胎了，这婴儿底也有多重的唻…,负向
抱团你就嗨皮，被拉黑用得着发个贴吗,咱被多少人拉黑，有啥了不起的，话不投机半句多，看到绕路走不就ok了！！！！！！！ 发贴叫屈，说明你想在互联网接收到拥抱的感觉，这恰恰证明了你现实生活的渺小！！！！！！！ 可悲又可怜！！！！！！！！！,中性
跌超方大，涨是方大孙子。,跌超方大，涨是方大孙子。,负向
现在买入浦发算抄底吗,现在买入浦发算抄底吗,中性
如何选择合适的儿童夏令营,2017年中报或年报最有可能高送转的公司—海利尔,中性
乌龟浦发,乌龟=浦发,负向
持有浦发银票伙伴们注定今夜无眠，等割个偏体淋伤哈,持有浦发银票伙伴们注定今夜无眠，等割个偏体淋伤哈,负向
浦发大概何时发债,浦发大概何时发债？,中性
华夏银行高价增发了几十个亿都没人买账,华夏银行现价7.63元，增发价11.4元，高价增发了几十个亿都没人买账，浦发高管才买多少就嘚瑟了。,中性
2016.8.30风格切换明显，中小创追高不易,今日早盘延续震荡态势，盘中波幅狭窄，整体呈上,中性
九十年代初的上海紫江,九十年代初的上海紫江,正向
亚通最大的问题是董事长不行，一个痈疽带着一群痈疽,亚通最大的问题是董事长不行，一个痈疽带着一群痈疽,负向
