用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
7.1年,环茱玳莉6156,浦发银行(600000.sh),也就是说让我们把超市约等于股市来看的话,也就是说让我们把超市约等于股市来看的话,2017/1/11 19:03,中性,0
5.2年,恺撒铭金,浦发银行(600000.sh),凯撒铭金：原油投资赚钱套路,近年来，现货投资成为了投资市场上的“香饽饽”，不少投资者进入现货市场准备大展拳脚，可是现货投资是一门高技术活，如何盈利赚钱，今天小编给大家总结了现货投资的赚钱套路，有做单方面的、有技巧方面的、有纪律方面的，希望给大家带来帮助！  一、首先，从保本到盈利，我们必需要走的三步：  1...,2017/2/23 22:07,中性,0
7.7年,顺势18,浦发银行(600000.sh),两张图,上证50和创业板综指的对比。,2019/1/27 15:05,中性,0
10.4年,未央晓晓生,浦发银行(600000.sh),大伙投！,股民进入一级市场的股权众筹平台!中小企业股权融资首选!,2016/4/21 14:49,中性,0
7.3年,万佳百联,浦发银行(600000.sh),浦发会不会被外资银行收购哪因为上海一直是改革的前沿！还有自贸区,浦发会不会被外资银行收购哪？因为上海一直是改革的前沿！还有自贸区,2018/3/7 12:22,中性,0
6.7年,jing1ling,浦发银行(600000.sh),高山滑雪，一路向下,高山滑雪，一路向下,2018/5/19 23:25,负向,-1
8.6年,垃圾就该退市,浦发银行(600000.sh),听说好几个银行被罚了，过几天就好了,听说好几个银行被罚了，过几天就好了,2018/1/22 17:41,负向,-1
11年,棉棉的零花钱,浦发银行(600000.sh),放了700多个亿来换去企业买下不良贷款，很明显业绩造假,放了700多个亿来换去企业买下不良贷款，很明显业绩造假,2018/1/19 22:55,负向,-1
12.1年,友学毅,浦发银行(600000.sh),但愿站上15.47！加油！你落后太久了,基本上都是上午涨下午跌，跟住脚步，上午卖下午,2018/10/17 13:04,正向,1
6.9年,n143559054631886,浦发银行(600000.sh),实际上高送转送红：规定一个财务门槛等级和上限,朋友别哭50依然是你心灵的归宿 朋友别哭要相信,2017/8/3 22:32,中性,0
6.1年,布袋zfs505,浦发银行(600000.sh),关注近期热点,近期工业制造峰会不断，短线工业4.0 机器人 有望受益 逢低关注 沈阳机床 华中数控,2016/6/17 9:24,中性,0
7.3年,时常是盈家5107,浦发银行(600000.sh),600006被套了，浦发的大神，帮帮忙拉一下,600006被套了，浦发的大神，帮帮忙拉一下,2017/3/16 13:38,负向,-1
6.4年,novopashy,浦发银行(600000.sh),但不管文T言小说或白话小Z说都X源远流长，呈现各自不同的艺术特色,但不管文T言小说或白话小Z说都X源远流长，呈现各自不同的艺术特色,2016/6/23 2:30,中性,0
8.9年,正方大脑,浦发银行(600000.sh),梧桐树等入市蓝筹股三年慢牛自然会形成,梧桐树、养老金 证金 汇金等国家队资金缓缓入市，将托住银行保险目前形成的底部，已耗资上万亿。由于公私基金 散户撤离银行保险的行动从去年初持续到现在(2015/1—2016/3)，国家队已投入的资金仅能形成底部，推升银行保险等形成蓝筹股慢牛行情(三年上涨100%)需要在以后的三年内...,2016/3/26 11:31,正向,1
6.6年,Szwail,浦发银行(600000.sh),真心多得你们一众热心的资深人士时时提醒，要不就有很多象我们一样的初哥非常容易地就,真心多得你们一众热心的资深人士时时提醒，要不就有很多象我们一样的初哥非常容易地就受小米误导！[赞]！,2017/5/21 10:36,中性,0
11年,大唐天下,浦发银行(600000.sh),客观分析浦发银行,浦发银行年报及分红披露后，银粉纷纷批责、嫌弃。客观的说浦发2016年年报及分红差强人意。再加上低价增发新股确实伤通了一贯看好并持有银粉的心，但我认为浦发银行应该还算很好的价值股标的。我看到浦发的十大股东2016年三季度以来并没有减持，证金公司还有加仓，而同期许多银行股被证金减持，...,2017/4/3 18:04,正向,1
7.6年,茂名炒菜师傅2977,浦发银行(600000.sh),同时同一天入的60000五万股，价格16.75元；000019一万股，价格10元，你看两股的表现，朋友说你当初为何不听我感叹：为何持股数不调过来，认命。但也怪李大嘴。,同时同一天入的60000（五万股，价格16.75元）；000019（一万股，价格10元），你看两股的表现，朋友说“你当初为何不听？”我感叹：为何持股数不调过来，认命。但也怪李大嘴。,2016/2/5 20:35,负向,-1
11.8年,张静初12,浦发银行(600000.sh),按常理至少三至四块，理由一：大股东增持一到二,按常理至少三至四块，理由一：大股东增持一到二,2018/11/11 5:52,中性,0
4.3年,小胡呵呵哒,浦发银行(600000.sh),一路买,一路买,2018/6/27 14:10,正向,1
5.5年,不要信300033,浦发银行(600000.sh),同花顺的大战略软件是骗人的软件，交了6万8千买了这软件在大市升了几百点的时候半个,同花顺的大战略软件是骗人的软件，交了6万8千买了这软件在大市升了几百点的时候半个月亏了几十万，交钱前承诺20%的月收益和80%的上涨概率全都是骗人的，我就是受害者。,2016/11/17 8:59,负向,-1
4.1年,Tony阿曼达,浦发银行(600000.sh),11.5元支撑有效，底部会逐步抬高。,11.5元支撑有效，底部会逐步抬高。,2018/4/10 16:15,正向,1
7年,股友Diu3a4109,浦发银行(600000.sh),帐庐好在春睡,帐庐好在春睡,2017/7/23 14:05,中性,0
5.4年,n127408038,浦发银行(600000.sh),要收复20日线了鼓掌,要收复20日线了[鼓掌],2018/6/8 17:54,正向,1
6.7年,a老农,浦发银行(600000.sh),教训疯x是做善事，何乐而不为！见疯X不打即是罪过！！浦吧有一疯X，,教训疯x是做善事，何乐而不为？！见疯X不打即是罪过！！  浦吧有一疯X，名为拔苗（专业户），贯以辱骂他人为乐。近期己疯！望浦吧朋友望而远之，以保人身安全。,2016/1/26 22:48,负向,-1
5.8年,股友o6e4,浦发银行(600000.sh),会因虚度年华而悔恨,会因虚度年华而悔恨,2018/5/16 21:42,负向,-1
5.1年,正兴正道7935,浦发银行(600000.sh),明天爆升就看你了,明天爆升就看你了,2017/7/16 18:15,正向,1
9.4年,逍遥鼠小弟1672,浦发银行(600000.sh),节后套,春节后，套牢一大片今天抢入的。,2016/2/5 16:09,负向,-1
6.9年,滴碧闪歌激0223,浦发银行(600000.sh),流通盘很少了已经拉升在即！老子在买个500手,流通盘很少了已经拉升在即！老子在买个500手,2017/3/23 10:45,正向,1
5年,壮士何所憾0,浦发银行(600000.sh),短期震荡上行，下方支撑在10日线处，上方压力在13.0元附近，支撑上方继续持股待涨即可。,短期震荡上行，下方支撑在10日线处，上方压力在13.0元附近，支撑上方继续持股待涨即可。,2017/9/7 9:19,正向,1
7.7年,骏马驰骋3341,浦发银行(600000.sh),上午反弹地点就是为了出货！,下午仍是惨烈的大跌！不信看着吧没有价值回报的市场只能是一路下跌！没有任何迹象表明经济向好只是下滑下滑还是下滑，股市不可能有好的表现！别再相信什么了。三十六计走为上策！这才是没办法的办法！,2016/5/12 10:44,正向,1
6.5年,股友zqpX1w,浦发银行(600000.sh),跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑,跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑,2017/11/3 14:43,负向,-1
7.1年,股友sfJZP31690,浦发银行(600000.sh),市场在等候美联储决议,周三早盘，沪指小幅低开，创业板大幅高开近2%，主板与创业板分化依然明显。开盘后，沪指在银行等板块带领下翻红，但创业板在开盘后持续下行，盘中下探跌近1.5%。午后开盘，人工智能概念崛起，各题材板块纷纷拉升，创业板迅速回暖，并一度拉升涨近1%；然而人气低迷，市场冲高后迅速回落，创业板...,2016/3/16 20:08,中性,0
5.6年,Ashtanga2246,浦发银行(600000.sh),停牌王000553沙隆达十大利好沙隆达十大概念：1重大无先例重组成功，,停牌王 000553 沙隆达 十大利好 沙隆达十大概念： 1重大无先例重组成功，证监会以及个有关部门全部开绿灯通行 2停牌时间最长，长达十四个月，通常时间越长涨幅越大，至少25个板以上。 3注入以色列adama资产蛇吞象，并且承诺公司总部保留在以色列，国外先进管理经营继续传承。 ...,2016/10/19 8:23,正向,1
6.9年,飞翔讨跌6169,浦发银行(600000.sh),力鼎资本创始合伙人高凤勇称新三板最大的好消,力鼎资本创始合伙人高凤勇称 新三板最大的好消,2017/3/23 10:27,中性,0
8.4年,倾心点金3189,浦发银行(600000.sh),倾心点金：原油上周暴跌非农难挡黄金一路飙升,2016年第一个交易周全球市场风起云涌，人民币贬值至五年低位、中国A股四次触发熔断，引发全球股市重挫、避险情绪卷土重来；沙特与伊朗断交以及朝鲜核试验等地缘政治危机爆发，油价惨跌不止；因美国薪资鲜有增长、市场对美联储进一步加息产生疑虑，美元表现平平。在市场风险剧增的前提下，金银成了...,2016/1/11 11:02,中性,0
4.9年,jaylong521,浦发银行(600000.sh),一支穿云箭，千军万马来相见！,一支穿云箭，千军万马来相见！,2017/9/8 15:16,正向,1
5.1年,春宵爱做梦,浦发银行(600000.sh),卖出，入银行，只因大股东只会溢价注资产,卖出，入银行，只因大股东只会溢价注资产,2018/5/28 21:43,中性,0
14.2年,33333114457,浦发银行(600000.sh),刷卡手续费下降。周一银行股跌，磁卡股涨停。,刷卡手续费下降。周一银行股跌，磁卡股涨停。,2016/3/18 21:07,中性,0
8.1年,maker168,浦发银行(600000.sh),为啥我回复拳打的发不出呢,为啥我回复拳打的发不出呢？,2017/5/24 7:35,中性,0
7.1年,逍遥鼠6220,浦发银行(600000.sh),MSCI尘埃落定期待A股春天,央行参事盛松成：下半年中国市场利率或平滑下行,2017/9/3 0:33,正向,1
9.9年,n959713409403870,浦发银行(600000.sh),大盘今天不会杀跌，会保持高点震荡。,大盘今天不会杀跌，会保持高点震荡。,2017/9/16 15:54,负向,-1
4.3年,股友zNPnLt,浦发银行(600000.sh),今天抄底,今天抄底,2018/1/23 3:27,中性,0
3年,积沙成塔6,浦发银行(600000.sh),浦发雄起还是你牛,浦发雄起!还是你牛!,2019/10/21 9:56,正向,1
8.9年,股友KsgajA,浦发银行(600000.sh),多头行情，多方慢慢来。9帖,汇丰银行，渣打银行股价7O多元，中国多家银行不,2017/7/13 14:37,中性,0
5年,股友D17xbv7243,浦发银行(600000.sh),价的上涨同步向上延伸来判断价的上涨同步向上延伸来判断,价的上涨同步向上延伸来判断价的上涨同步向上延伸来判断,2017/5/8 14:05,正向,1
6.3年,阳光的翻翻9583,浦发银行(600000.sh),稳定股市增加投资者信心建议修改交易规则：一修改个股及指数上涨限制幅度。将个股,稳定股市增加投资者信心建议修改交易规则：一、修改个股及指数上涨限制幅度。 将个股涨停板幅度限制修改为20%，同时将沪深300指数上涨的熔断阈值相应修改为10%和15%。个股跌停板原幅度及指数下跌熔断值不变。 二、率先在沪深300股票中试行T 0交易制度，引导资金价值投资。,2016/1/7 11:07,负向,-1
7.1年,秋天里的叶子,浦发银行(600000.sh),赚钱重要的是时间,赚钱重要的是时间,2017/5/13 22:20,正向,1
6.2年,fdcmf,浦发银行(600000.sh),招商银行逆势上涨.厉害.,招商银行逆势上涨.厉害.,2016/11/23 14:58,正向,1
6.3年,无声的告白,浦发银行(600000.sh),今天强势上扬。明天估计要到18.55,今天强势上扬。 明天估计要到18.55,2016/3/16 15:59,正向,1
9.2年,我爱财whj,浦发银行(600000.sh),银行股倒数第一不屑,银行股倒数第一[不屑],2018/6/13 13:24,负向,-1
6.8年,反抗饮马河,浦发银行(600000.sh),经济不是不好,经济不是不好,2016/7/7 9:37,正向,1
8.1年,铁血A老窦5548,浦发银行(600000.sh),买了三成仓,缩量不跌，买点。,2016/5/20 10:39,正向,1
4.6年,股友apcyjed,浦发银行(600000.sh),4.11巴菲特小师妹恒指玩的就是心跳,[胜利]今天完美收官。 恒指交易时间： 买入时间：白天09：15--16：20 夜盘：17：15-23：35 卖出时间：白天09：15-16：25 夜盘：17：15-23：40,2018/4/11 17:13,中性,0
14.2年,饮中八仙歌san,浦发银行(600000.sh),一毛钱玩一天,一毛钱玩一天,2016/8/10 14:28,中性,0
5.1年,股友uTRxTh,浦发银行(600000.sh),我们也开始变得不一样了,我们也开始变得不一样了,2017/4/24 14:12,中性,0
15.2年,artimatrix,浦发银行(600000.sh),上证629日走势依然健康，上涨继续，上涨继续，,东方能源业绩不错啊，为什么还跌呢？感觉今天可,2017/9/12 23:02,正向,1
5.5年,股友pJELLp,浦发银行(600000.sh),送股和公积金转增股其实一点意义也没有，因为送股和公积金转增股后，你的每股收益相应,送股和公积金转增股其实一点意义也没有，因为送股和公积金转增股后，你的每股收益相应被平摊了，如送股前每股收益1元，每股净资产3元，那么送股后每股收益变成0.5元了，每股净资产变成1.5元了，你的市盈率是不变的，投资价值也是不变的，只是股价看起来变低了，送股的公司说的送股是没有付出一...,2017/5/18 11:03,中性,0
6.4年,煤炭B1555,浦发银行(600000.sh),申购银行母基金168205或者是1606315万可以盘中申购，申购后分拆成分级,"申购银行母基金168205或者是160631,5万可以盘中申购，申购后分拆成分级A B,然后卖出分级A,这是50万以下的散户最简单的杠杆工具!而且不存在爆仓的说法!",2016/11/18 21:34,中性,0
4.8年,股友3yhsQM3833,浦发银行(600000.sh),小小的动作伤害还那么大,小小的动作伤害还那么大,2017/7/23 15:37,负向,-1
6.5年,股友HFQyqI9398,浦发银行(600000.sh),这是什么情况啊谁能说说啊专家老是CD啊,这是什么情况啊 谁能说说啊 专家老是 C D 啊,2016/1/7 12:08,中性,0
8.5年,n190213851236874,浦发银行(600000.sh),空仓走人了！不玩了！,四部委发文积极发展创业板，发展科技创新 加大,2017/7/17 18:38,负向,-1
6.5年,温柔刺客001,浦发银行(600000.sh),的快叨气的价格了,的快叨气的价格了,2018/5/30 20:48,负向,-1
5.5年,悄涤荡最小甄1654,浦发银行(600000.sh),硬分股东500天利润,天理何在?,2017/3/24 19:05,负向,-1
